Farm_ID,District,Planting_Date,Days_After_Planting,Growth_Stage,Land_Size_Acres,Seed_Variety,Soil_Type,Soil_pH,Soil_Moisture_pct,Weekly_Rainfall_mm,Avg_Temperature_C,Relative_Humidity_pct,Solar_Radiation_MJ_m2_day,Irrigation_mm_week,Fertilizer_kg_acre,Pest_Severity,Disease_Severity,Plant_Height_cm,Leaf_Greenness_Index,Predicted_Final_Yield_t_ha,Actual_Final_Yield_t_ha,Total_Water_Input_mm,Plant_Height_per_DAP,Canopy_Greenness_Volume,Biotic_Stress_Index,Planting_Month,Growth_Stage_Ordinal,Pest_Severity_Ordinal,Disease_Severity_Ordinal,District_Badulla,District_Galle,District_Kandy,District_Kegalle,District_Kurunegala,District_Matale,District_Matara,District_Monaragala,District_Nuwara Eliya,District_Ratnapura,Seed_Variety_Chinese,Seed_Variety_Local,Seed_Variety_Nadun,Soil_Type_Clay Loam,Soil_Type_Loam,Soil_Type_Sandy Loam
F0721,Matara,2025-11-29,121,Vegetative,3.65,Nadun,Clay Loam,6.0,34.3,52.5,23.5,65.3,20.8,9.4,69.6,Low,Low,86.5,62.5,13.87,13.39,61.9,0.7149,5406.25,0,11,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
F0583,Kandy,2025-02-01,188,Rhizome Initiation,3.07,Local,Loam,5.6,28.4,20.8,22.9,94.4,21.3,20.2,31.2,High,Low,102.4,55.7,13.04,12.26,41.0,0.5447,5703.68,2,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
F0167,Monaragala,2025-06-28,190,Rhizome Initiation,2.87,Local,Clay Loam,6.4,49.6,117.6,26.1,66.3,23.0,3.7,46.9,Low,Medium,104.4,69.8,16.13,16.47,121.3,0.5495,7287.12,1,6,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
F0877,Kegalle,2025-06-11,158,Rhizome Initiation,3.78,Chinese,Clay Loam,6.2,40.4,67.0,26.0,64.8,19.6,13.0,116.6,Low,High,103.2,68.2,13.99,13.29,80.0,0.6532,7038.24,2,6,3,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
F0377,Ratnapura,2025-02-13,262,Maturity,2.82,Nadun,Sandy Loam,5.9,30.4,23.9,21.9,74.5,12.3,26.9,40.5,Medium,Medium,140.5,61.7,15.04,15.35,50.8,0.5363,8668.85,2,2,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
F0755,Matale,2025-01-05,77,Early Vegetative,4.31,Chinese,Loam,6.3,54.1,118.8,28.2,56.9,13.7,27.5,52.0,Low,Low,48.1,72.9,13.62,13.02,146.3,0.6247,3506.49,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
F0529,Kegalle,2025-03-17,83,Early Vegetative,4.71,Local,Loam,5.8,24.1,0.8,32.6,58.6,23.9,15.0,40.0,Low,Low,48.0,54.2,10.59,11.23,15.8,0.5783,2601.6,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
F0560,Nuwara Eliya,2025-02-25,287,Maturity,4.97,Local,Sandy Loam,6.7,35.0,73.2,28.2,93.2,24.6,6.8,33.3,Low,Medium,169.4,57.9,16.5,16.96,80.0,0.5902,9808.26,1,2,5,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
F0868,Kandy,2025-05-13,244,Rhizome Development,4.46,Nadun,Sandy Loam,5.2,35.7,73.0,27.6,80.7,20.2,15.9,36.6,Low,Medium,141.6,57.7,15.55,15.91,88.9,0.5803,8170.32,1,5,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
F0356,Nuwara Eliya,2025-04-14,86,Early Vegetative,1.63,Nadun,Loam,6.3,35.7,75.0,27.8,60.4,23.5,31.3,67.9,Low,Low,48.6,57.3,13.08,13.36,106.3,0.5651,2784.78,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
