Farm_ID,District,Planting_Date,Days_After_Planting,Growth_Stage,Land_Size_Acres,Seed_Variety,Soil_Type,Soil_pH,Soil_Moisture_pct,Weekly_Rainfall_mm,Avg_Temperature_C,Relative_Humidity_pct,Solar_Radiation_MJ_m2_day,Irrigation_mm_week,Fertilizer_kg_acre,Pest_Severity,Disease_Severity,Plant_Height_cm,Leaf_Greenness_Index,Predicted_Final_Yield_t_ha,Actual_Final_Yield_t_ha
F0721,Matara,2025-11-29,121,Vegetative,3.65,Nadun,Clay Loam,6.0,34.3,52.5,23.5,65.3,20.8,9.4,69.6,Low,Low,86.5,62.5,13.87,13.39
F0583,Kandy,2025-02-01,188,Rhizome Initiation,3.07,Local,Loam,5.6,28.4,20.8,22.9,94.4,21.3,20.2,31.2,High,Low,102.4,55.7,13.04,12.26
F0167,Monaragala,2025-06-28,190,Rhizome Initiation,2.87,Local,Clay Loam,6.4,49.6,117.6,26.1,66.3,23.0,3.7,46.9,Low,Medium,104.4,69.8,16.13,16.47
F0877,Kegalle,2025-06-11,158,Rhizome Initiation,3.78,Chinese,Clay Loam,6.2,40.4,67.0,26.0,64.8,19.6,13.0,116.6,Low,High,103.2,68.2,13.99,13.29
F0377,Ratnapura,2025-02-13,262,Maturity,2.82,Nadun,Sandy Loam,5.9,30.4,23.9,21.9,74.5,12.3,26.9,40.5,Medium,Medium,140.5,61.7,15.04,15.35
F0755,Matale,2025-01-05,77,Early Vegetative,4.31,Chinese,Loam,6.3,54.1,118.8,28.2,56.9,13.7,27.5,52.0,Low,Low,48.1,72.9,13.62,13.02
F0529,Kegalle,2025-03-17,83,Early Vegetative,4.71,Local,Loam,5.8,24.1,0.8,32.6,58.6,23.9,15.0,40.0,Low,Low,48.0,54.2,10.59,11.23
F0560,Nuwara Eliya,2025-02-25,287,Maturity,4.97,Local,Sandy Loam,6.7,35.0,73.2,28.2,93.2,24.6,6.8,33.3,Low,Medium,169.4,57.9,16.5,16.96
F0868,Kandy,2025-05-13,244,Rhizome Development,4.46,Nadun,Sandy Loam,5.2,35.7,73.0,27.6,80.7,20.2,15.9,36.6,Low,Medium,141.6,57.7,15.55,15.91
F0356,Nuwara Eliya,2025-04-14,86,Early Vegetative,1.63,Nadun,Loam,6.3,35.7,75.0,27.8,60.4,23.5,31.3,67.9,Low,Low,48.6,57.3,13.08,13.36
F0259,Matale,2025-12-09,266,Maturity,4.61,Local,Sandy Loam,6.3,32.6,46.3,22.2,83.6,24.5,10.1,85.7,Low,Low,144.1,60.3,18.42,18.28
F0804,Badulla,2025-11-11,180,Rhizome Initiation,3.33,Chinese,Loam,5.6,19.9,3.6,31.5,76.0,21.4,34.0,106.5,Low,Low,100.6,54.3,14.53,15.09
F0734,Kurunegala,2025-09-08,215,Rhizome Development,2.55,Chinese,Clay Loam,5.4,45.2,102.3,25.3,74.6,16.8,8.4,47.7,Medium,Low,121.1,71.1,17.2,17.6
F0533,Kandy,2025-10-17,51,Early Vegetative,2.67,Nadun,Clay Loam,6.3,29.4,39.2,25.7,92.1,24.9,6.0,51.0,Medium,Low,39.3,55.4,10.54,10.24
F0820,Kegalle,2025-07-26,233,Rhizome Development,1.24,Chinese,Loam,5.6,46.9,100.7,27.3,77.3,23.5,36.5,32.6,Medium,Low,136.1,65.6,17.21,16.5
F0698,Kurunegala,2025-10-13,88,Early Vegetative,3.35,Chinese,Sandy Loam,5.0,36.9,85.5,20.6,82.9,13.8,29.3,92.9,Low,Low,60.1,62.9,12.42,12.81
F0839,Ratnapura,2025-05-18,283,Maturity,1.85,Nadun,Sandy Loam,6.0,40.7,67.7,27.7,72.0,22.3,35.4,106.3,Medium,Medium,158.9,68.7,17.83,17.36
F0735,Kandy,2025-02-14,147,Vegetative,2.67,Local,Clay Loam,5.9,37.2,86.6,20.5,88.7,23.8,46.1,72.1,Low,Low,97.1,57.9,15.42,16.08
F0557,Ratnapura,2025-02-07,171,Rhizome Initiation,4.24,Chinese,Clay Loam,6.5,25.8,26.2,24.8,67.2,15.8,26.1,37.9,Medium,Low,112.2,60.4,13.29,13.35
F0968,Matara,2025-09-30,85,Early Vegetative,2.49,Chinese,Clay Loam,6.4,33.3,36.8,26.1,89.8,24.0,29.8,78.1,Medium,Low,67.2,64.3,10.57,10.24
F0469,Monaragala,2025-03-03,179,Rhizome Initiation,0.76,Nadun,Clay Loam,5.5,36.7,69.9,21.2,62.4,14.1,12.2,92.1,Low,Low,102.3,58.3,17.14,16.98
F0131,Galle,2025-11-20,27,Sprouting,2.29,Nadun,Sandy Loam,6.1,46.5,93.8,23.4,67.3,14.8,45.0,30.7,Low,Medium,22.4,66.6,10.73,11.3
F0018,Ratnapura,2025-08-18,219,Rhizome Development,2.32,Chinese,Loam,5.9,22.6,5.6,24.5,63.4,23.5,6.2,87.2,Low,Low,117.1,57.7,16.77,16.14
F0795,Matale,2025-06-07,60,Early Vegetative,2.55,Nadun,Clay Loam,6.8,46.4,98.9,32.6,91.3,22.8,46.7,25.8,Low,Medium,53.5,67.3,9.37,9.48
F0742,Nuwara Eliya,2025-11-05,211,Rhizome Development,1.9,Chinese,Sandy Loam,6.3,37.5,88.6,25.3,68.1,16.1,17.6,42.8,Low,Low,129.5,67.0,16.34,16.76
