,count,mean,std,min,25%,median,75%,max,iqr,skewness,kurtosis
Days_After_Planting,10000.0,150.5754,86.9506,1.0,75.75,150.0,226.0,300.0,150.25,0.0097,-1.205
Land_Size_Acres,10000.0,2.7447,1.2943,0.5,1.62,2.72,3.87,5.0,2.25,0.0193,-1.1925
Soil_pH,10000.0,5.9048,0.5211,5.0,5.5,5.9,6.4,6.8,0.9,-0.0138,-1.1902
Soil_Moisture_pct,10000.0,35.0386,9.1335,15.3,27.6,35.0,42.5,54.9,14.9,0.0078,-0.9803
Weekly_Rainfall_mm,10000.0,59.9584,34.6804,0.0,29.8,59.9,89.9,120.0,60.1,-0.0023,-1.2118
Avg_Temperature_C,10000.0,27.0296,4.0702,20.0,23.5,27.1,30.6,34.0,7.1,-0.0185,-1.2237
Relative_Humidity_pct,10000.0,75.0655,11.627,55.0,65.1,75.05,85.2,95.0,20.1,0.0075,-1.2105
Solar_Radiation_MJ_m2_day,10000.0,18.4561,3.7481,12.0,15.2,18.4,21.7,25.0,6.5,0.0158,-1.1997
Irrigation_mm_week,10000.0,25.2042,14.3275,0.0,12.8,25.3,37.6,50.0,24.8,-0.015,-1.1911
Fertilizer_kg_acre,10000.0,69.9889,28.9293,20.0,44.9,70.2,95.1,120.0,50.2,-0.0084,-1.1969
Plant_Height_cm,10000.0,92.7315,44.0162,6.6,54.6,92.5,130.2,179.7,75.6,0.0104,-1.1464
Leaf_Greenness_Index,10000.0,61.0048,6.1793,45.0,56.4,61.0,65.6,77.2,9.2,-0.0018,-0.6439
Predicted_Final_Yield_t_ha,10000.0,13.6409,2.9744,4.08,11.37,13.65,15.94,21.49,4.57,-0.0384,-0.695
Actual_Final_Yield_t_ha,10000.0,13.6387,3.0079,4.0,11.3475,13.65,15.96,21.9,4.6125,-0.039,-0.6785
