column,missing_count,missing_percentage
Farm_ID,0,0.0
District,0,0.0
Planting_Date,0,0.0
Days_After_Planting,0,0.0
Growth_Stage,0,0.0
Land_Size_Acres,0,0.0
Seed_Variety,0,0.0
Soil_Type,0,0.0
Soil_pH,0,0.0
Soil_Moisture_pct,0,0.0
Weekly_Rainfall_mm,0,0.0
Avg_Temperature_C,0,0.0
Relative_Humidity_pct,0,0.0
Solar_Radiation_MJ_m2_day,0,0.0
Irrigation_mm_week,0,0.0
Fertilizer_kg_acre,0,0.0
Pest_Severity,0,0.0
Disease_Severity,0,0.0
Plant_Height_cm,0,0.0
Leaf_Greenness_Index,0,0.0
Predicted_Final_Yield_t_ha,0,0.0
Actual_Final_Yield_t_ha,0,0.0
