Model,CV_MAE_mean,CV_MAE_std,CV_RMSE_mean,CV_R2_mean,Test_MAE,Test_RMSE,Test_R2,Test_MAPE
CatBoost (Tuned),0.6182,0.0064,0.7585,0.9364,0.6022,0.7431,0.9386,4.6829
CatBoost,0.6182,0.0064,0.7585,0.9364,0.6085,0.7506,0.9373,4.7422
LightGBM (Tuned),0.6393,0.0106,0.7835,0.9321,0.6149,0.7545,0.9367,4.7922
XGBoost (Tuned),0.6403,0.0114,0.787,0.9315,0.6167,0.7561,0.9364,4.7991
LightGBM,0.6393,0.0106,0.7835,0.9321,0.6183,0.7585,0.936,4.8271
XGBoost,0.6403,0.0114,0.787,0.9315,0.6223,0.7644,0.935,4.8572
Ridge,0.6563,0.0095,0.8081,0.9278,0.6374,0.7893,0.9307,4.9707
Random Forest (Tuned),0.707,0.0109,0.8722,0.9159,0.6879,0.8492,0.9198,5.407
Random Forest,0.707,0.0109,0.8722,0.9159,0.6894,0.8491,0.9198,5.4136
Dummy (Mean),2.5067,0.0189,3.0115,-0.0029,2.5016,2.999,-0.0003,20.3492
